id,phi0,epsr,epsv,thetasf,rp_kep,ra_kep,alpha,ra,dt1,dt2,x_lpo,y_lpo,z_lpo,xdot_lpo,ydot_lpo,zdot_lpo,m_lpo,x_ra,y_ra,z_ra,xdot_ra,ydot_ra,zdot_ra,m_ra,x_rp,y_rp,z_rp,xdot_rp,ydot_rp,zdot_rp,m_rp,x_lr,y_lr,z_lr,xdot_lr,ydot_lr,zdot_lr,m_lr,t_lr,tof,lfb
46.0,1.0890854532444616,1.0e-5,1.0e-5,5.969026041820606,0.013727179366155067,2.750568816550433,2.8934753875826082,3.598932175750634,13.904507079871939,8.651514141824569,387.7667398278583,-0.3917631965019998,9.814272301421376e-23,0.3923504024669051,-1.1047812451787864,-1.9249059186726941e-22,1.0,391.5639699316031,-2.330179815677088,5.03998463853776e-22,-0.04076619961487715,-0.05113174107631087,2.781455039579538e-23,1.0284439756682133,388.80630469902025,-0.008670030497952461,0.0,-2.938870775554486,-11.600619691903399,0.0,1.0483698720972905,389.68771053877185,-0.46573215875441093,-9.496056782676755e-23,1.0825143438027487,-0.4532769288225907,7.784894806454586e-23,1.0483698720972905,22.034034674159603,22.556021221696508,2.0
47.0,1.1100294042683936,1.0e-5,1.0e-5,2.9321531433504733,0.06914887639050493,2.667072192290675,-0.4229371097826146,3.413161815062623,12.702057834703107,7.729215228518706,389.9100486520707,0.28831255858435784,9.942219614936298e-23,-0.274457576376787,1.1252814119185197,-2.653491668263705e-22,1.0,386.55156733285247,2.5491695992744106,6.347029034978047e-22,0.0068946762796929534,0.009642031021963508,1.405952217207453e-23,1.0254967098581644,388.87229157444506,-0.03026909347874282,0.0,2.1660069437087035,4.81227902536042,0.0,1.0430599741026099,388.2159985332119,0.7718516378188461,8.611497324025769e-24,-0.9266582741734263,0.7134409381304376,1.7207204592450258e-22,1.0430599741026099,19.867659735183455,20.431273063221813,2.0
48.0,1.1100294042683936,1.0e-5,1.0e-5,6.073745796940266,0.07360512648130117,2.643415670180963,2.7221746580180635,3.4152869102944745,12.739410947700033,7.773983877225625,387.7324286664582,-0.288312558584358,9.942219614936298e-23,0.2744575763767871,-1.1252814119185197,-2.653491668263705e-22,1.0,391.1001114448298,-2.5438009959189896,6.359324412228561e-22,-0.005693497925944839,-0.007957277776080577,1.3108946616919114e-23,1.0255882639420217,388.7661248978479,0.030945180510701505,0.0,-2.081043919369142,-4.667329467055124,0.0,1.0432459580674704,389.42028671332076,-0.781242846084597,1.0994631904347115e-23,0.9237679210922597,-0.711533150974737,1.7295203308392566e-22,1.0432459580674704,19.94353911103069,20.51339482492566,2.0
49.0,1.1309733552923256,1.0e-5,1.0e-5,2.9321531433504733,0.033421013658483295,2.3408999456834105,-0.37240453666095474,3.4915849781503105,13.124898308681873,8.018885204515522,389.9098372934002,0.2962050391553349,9.468404889843111e-23,-0.272113300432762,1.1100299014948516,-3.4877889276008095e-22,1.0,386.34757057157805,2.464169606907525,7.73844756506746e-22,0.02300517337487077,0.02962976178318311,3.637196573425531e-24,1.0265331136136862,388.84172458121566,-0.006300697874845816,0.0,2.777806911162562,7.111057911821922,0.0,1.0448787549667402,388.07812753657726,0.6443874004054639,4.675923507800844e-23,-0.99859044683304,0.611513129351501,2.2262472876804404e-22,1.0448787549667402,20.609700718721914,21.143783513197395,2.0
50.0,1.1309733552923256,1.0e-5,1.0e-5,6.073745796940266,0.036313172382875195,2.3573028835066556,2.7753908342557088,3.4984498378167994,13.168857974894552,8.094019516985005,387.7326400251287,-0.296205039155335,9.468404889843111e-23,0.27211330043276216,-1.1100299014948516,-3.4877889276008095e-22,1.0,391.30972321221805,-2.4589826956348726,7.753671686886111e-22,-0.022659701259669197,-0.027614944548442873,2.2675096012706696e-24,1.0266408608371207,388.79726861254863,0.006008035795716305,0.0,-2.6210705080557917,-6.834603713577276,0.0,1.0451715546017002,389.55642117479584,-0.6494002703096924,4.8194518858113934e-23,1.0023143362384712,-0.6105419095738702,2.236556218837995e-22,1.0451715546017002,20.729159557142065,21.262877491879557,2.0
51.0,1.1728612573401893,1.0e-5,1.0e-5,3.036872898470133,0.07039222828055891,2.728184766729374,-0.43030808839922385,3.4190660724326745,12.496567689823195,7.723493073706919,389.9378768204349,0.19292158770707712,5.880971636687107e-23,-0.14851550769069288,1.1002943845504463,-5.444646137726594e-22,1.0,386.58074987010474,2.5826774466258535,1.0448974275818417e-21,0.007579057799807122,0.010081085018730982,-4.674421934274298e-23,1.0249930426426808,388.8734309579603,-0.03233112330769676,0.0,2.182023285256566,4.753925863361073,0.0,1.0425342029241687,388.22370630268483,0.7809047270098842,2.825840591309379e-22,-0.9178485593429067,0.7234850212894604,4.078390523933711e-22,1.0425342029241687,19.653151437598687,20.220060763530114,2.0
52.0,1.1728612573401893,1.0e-5,1.0e-5,6.178465552059926,0.06758381975720794,2.6478132619197905,2.7163363377297056,3.435877926134279,12.552165795472698,7.8444021719479995,387.704600498094,-0.19292158770707776,5.880971636687107e-23,0.1485155076906935,-1.1002943845504463,-5.444646137726594e-22,1.0,391.0924351338864,-2.57816285307225,1.0444349102652568e-21,-0.010257146603273997,-0.00917523511346681,-4.8646001039952204e-23,1.0251293165951032,388.7717827086962,0.028893827650339397,0.0,-2.2026581799538345,-4.863539546503117,0.0,1.0429775296050598,389.4294840506775,-0.7709385590441875,2.8215843978280696e-22,0.9271464212339451,-0.7138342444476664,4.0758579593976065e-22,1.0429775296050598,19.834023386653875,20.396567967420697,2.0
53.0,1.2356931104119855,1.0e-5,1.0e-5,0.0,0.015025933450128013,2.2196559740579205,2.7492865740953096,3.605313365944908,12.902327860570201,8.349011912896687,387.6806937441805,-0.08261153372008218,-9.706534331811465e-23,0.022494262184726697,-1.06106350080664,-8.907681280336262e-22,1.0,391.26615350254446,-2.6496558032639106,1.3789077823892068e-21,-0.044701768212799954,-0.042684248459378064,-1.6037004354507354e-22,1.0259875820439415,388.8157128208984,-0.0030740666836100933,0.0,-4.369200703547098,-10.559919860946664,0.0,1.045189406389157,389.61114738318423,-0.5827746316984688,7.443820757543705e-22,1.0163053714718737,-0.6089579965429129,7.116635984383294e-22,1.045189406389157,20.73644269855011,21.25133977346689,2.0
54.0,1.2356931104119855,1.0e-5,1.0e-5,3.1415926535897927,0.019295677621675226,2.261506683076339,-0.41338031316776375,3.571986221282595,12.748970734877483,8.184203775990698,389.96178357434843,0.08261153372008281,-9.706534331811465e-23,-0.022494262184727297,1.06106350080664,-8.907681280336262e-22,1.0,386.43263814552796,2.6558752137121346,1.374654798286819e-21,0.03965191491162832,0.03791011402544608,-1.609661678955864e-22,1.0256116956909735,388.8283513615114,-0.0017368597150928097,0.0,4.047576641509961,9.22722275253624,0.0,1.0443939880649247,388.0562401125393,0.6193546509900962,7.538404297117037e-22,-0.9936017362121069,0.6367289260908253,7.0870483958887425e-22,1.0443939880649247,20.411921542711212,20.93317451086818,2.0
55.0,1.3613568165555772,1.0e-5,1.0e-5,0.20943951023931953,0.03661359339924577,2.655006544229713,2.580511736589143,3.6594125389558156,12.286786582151866,8.15375646763281,387.6683093210363,0.18195779695911724,-1.0784122829380449e-21,-0.20057481898133836,-0.9596431277923909,-1.4925415552376985e-21,1.0,390.7630875466553,-3.1016967983357073,1.9173960769001425e-22,-0.04531443866613288,-0.0293188359148548,-5.776863663782081e-22,1.0244788580730941,388.80194423649726,0.016223954483841403,0.0,-3.8820377465637117,-6.177100090582353,0.0,1.0431640347758926,389.4147544040335,-0.7825967148892338,2.3827395198338397e-21,0.869589951145108,-0.8223550478784889,1.1453429868669279e-21,1.0431640347758926,19.910115356855165,20.440543049784676,2.0
