id,phi0,epsr,epsv,thetasf,rp_kep,ra_kep,alpha,ra,dt1,dt2,x_lpo,y_lpo,z_lpo,xdot_lpo,ydot_lpo,zdot_lpo,m_lpo,x_ra,y_ra,z_ra,xdot_ra,ydot_ra,zdot_ra,m_ra,x_rp,y_rp,z_rp,xdot_rp,ydot_rp,zdot_rp,m_rp,x_lr,y_lr,z_lr,xdot_lr,ydot_lr,zdot_lr,m_lr,t_lr,tof,m0,lfb
1.0,0.0,1.0e-6,1.0e-6,0.0,0.02243630692526806,5.8168254525647365,2.441277838082069,4.230868900848649,13.920873322150001,9.433401042054598,387.69855040602687,-2.7938137447843953e-7,-2.8063991811043616e-23,1.0294967930426203e-6,-1.2038099785632352,-2.899524118750045e-32,1.0,390.1627349581719,-4.0125601972040155,-3.5937911339655e-23,-0.10299745453348763,-0.0323028434892688,-1.214939087456099e-23,1.0,388.79284194867245,0.00988815145775567,0.0,-6.041575412277156,-7.156754236640321,0.0,1.0,389.3365934358106,-0.8402334643617974,5.2600842295677035e-23,0.7790361107591456,-0.9686934276193818,1.718234640654729e-23,1.0,22.838104265206862,23.3542743642046,1.0,0.0
2.0,0.0,1.0e-6,1.0e-6,3.141592653589793,0.027837493051322115,5.398278517191362,-0.7036216276367019,4.23654414768902,13.934687383299565,9.394426250888486,389.94392691250204,2.793813746159292e-7,-2.8063991811043616e-23,-1.0294967931900445e-6,1.2038099785632352,-2.899524118750045e-32,1.0,387.50047302489844,4.0254048808034,-3.4024985284848273e-23,0.1007672656236314,0.03281506405930975,-1.2166094953451929e-23,1.0,388.85360430382457,-0.013184364639877927,0.0,5.439262367061922,6.404912194779616,0.0,1.0,388.33065134610104,0.8629733948293,5.281246922300848e-23,-0.7620336195162623,0.9763985271903434,1.726785896343288e-23,1.0,22.804101128294732,23.32911363418805,1.0,0.0
3.0,0.41887902047863906,1.0e-6,1.0e-6,4.817108735504349,0.00272441537805874,3.8686369215761696,2.770246348377736,3.703478501243391,14.94865404601916,8.638209444916962,388.73735241570483,-1.172181035232067,8.990516700757307e-22,0.9518246806312894,-0.10002458586284675,6.350686200032922e-22,1.0,391.31860476468205,-2.7347606009819825,-2.2712054563897996e-21,-0.06380360512153663,-0.062001582691240315,-2.8055727570661586e-22,1.0,388.81950379531065,-0.011148270864236162,0.0,-9.637401198158257,-25.13548955383371,0.0,1.0,389.688855098794,-0.474534694007405,1.0007364190865192e-21,1.0497440231029478,-0.5530848178916296,-5.754933396942653e-23,1.0,23.073934604082645,23.58686349093612,1.0,0.0
4.0,1.0471975511965976,1.0e-6,1.0e-6,2.722713633111154,0.0006829505373456611,2.5572149722244233,0.09735892267339634,3.834141300789829,15.327979411642868,10.38740447176031,389.8365265316923,0.48052825887825323,-3.793958683245599e-23,-0.5040877258884571,1.0825935599281005,3.5518644748738646e-23,1.0,385.61077614032973,2.0960844279125928,-1.171303255039209e-22,0.07746019079910778,0.11517848742631645,-1.706006286585347e-23,1.0,388.8242317521629,-0.011864898895670061,0.0,-4.99894261147102,53.54554439135241,0.0,1.0,387.833618736502,-0.0214197964597583,7.974326946320668e-23,-1.169538144854396,0.03116677020913174,2.1227176207872335e-23,1.0,25.19293323239076,25.715383883403177,1.0,0.0
5.0,1.0471975511965976,1.0e-6,1.0e-6,5.8643062867009474,0.004753615231645372,2.9087696651933452,-3.0690211165616366,3.8042969360454264,15.289946345537723,10.023750810732983,387.8059507868366,-0.4805282588782529,-3.793958683245599e-23,0.5040877258884567,-1.0825935599281007,3.5518644748738646e-23,1.0,391.9865050446296,-2.1103942492534444,-1.1865631738481523e-22,-0.06886053993953398,-0.10624872416799641,-1.6822138697168082e-23,1.0,388.81000556835227,0.009943849981996614,0.0,1.4045972060139373,-20.32164510504003,0.0,1.0,389.80088957022105,-0.07883224057741728,7.41908145910951e-23,1.1867355154679884,-0.09784935378905212,2.3482633773927425e-23,1.0,24.79392999039471,25.313697156270706,1.0,0.0
6.0,1.6755160819145563,1.0e-6,1.0e-6,1.4660765716752369,0.0019076017398319666,5.766520371565367,-0.6522025673539065,4.1385771744332835,15.412171994966668,9.254175452687639,388.77206211189497,1.159611374746764,3.7835633052580856e-21,-0.9959704498805015,-0.0971605079365375,-7.388928905054261e-21,1.0,387.1647117834758,3.7925901094806043,-1.8917221487316524e-20,0.1079138373810904,0.0466163544388179,1.4746782234990314e-21,1.0,388.8307904924689,0.007953006552575487,0.0,19.56060292826163,25.54873892003914,0.0,1.0,388.95529330074737,-0.9785680455631891,-2.3971018501141877e-21,0.5648136625034136,0.57665004669664,2.2812717795122396e-20,1.0,3.4120308372719497,24.666347447654307,1.0,0.0
7.0,1.6755160819145563,1.0e-6,1.0e-6,4.607669225265029,0.005726006554220629,5.439623765182134,2.4788176625885745,4.116145305217675,15.420355156716711,9.161320828274894,388.87041520663394,-1.1596113747467642,3.7835633052580856e-21,0.9959704498805015,0.09716050793653828,-7.388928905054261e-21,1.0,390.42845924464484,-3.7893923211505856,-1.8874962780688863e-20,-0.10248760191005525,-0.0450749263892977,1.4549188572508745e-21,1.0,388.80942853334295,-0.006193477645615139,0.0,-11.421849721616098,-14.636191238700256,0.0,1.0,388.6271071934269,0.968726459497073,3.022550369886172e-21,-0.6973641007553906,0.2180879405392657,5.678510784528936e-21,1.0,3.2293312079453065,24.581675984991605,1.0,0.0
8.0,2.0943951023931953,1.0e-6,1.0e-6,5.8643062867009474,0.0024858035335468447,2.6758421796130083,-2.950979215244281,3.9000473850146054,16.24064941320932,11.031048942842443,387.8141443220169,-0.502039102626108,-4.440357694273236e-23,0.5049598246012295,-1.0541303350484277,9.411581337170358e-23,1.0,392.24362191326685,-1.8702038573597317,-2.1588128865930223e-22,-0.07225005916361833,-0.13575094891271464,-1.9276665764802112e-23,1.0,388.8303281573597,0.0033486289033806435,0.0,5.709317093958774,-27.594544179377362,0.0,1.0,389.80538297494496,0.08886763835937393,1.094302017540066e-22,1.1609032808340138,0.10328321442664858,1.6820382358058016e-23,1.0,26.756490558273452,27.27169835605176,1.0,0.0
9.0,2.722713633111154,1.0e-6,1.0e-6,0.20943951023931953,0.012589009152701763,9.658768742901053,2.6019986154126595,4.658160596368193,14.60960417955305,10.417129247947615,387.7144032601891,0.317705298890369,3.3664413929555792e-21,-0.22890158715458084,-1.0054614251590055,-1.1814010647332738e-20,1.0,390.1010657247995,-4.478895268242065,3.6563871558216723e-20,-0.14917516184745894,-0.045397969556013995,4.322344310746983e-22,1.0,388.8080248875262,0.018397403563854952,0.0,-6.455893407127045,-10.726394868103327,0.0,1.0,389.5143443250254,-0.705180282543212,1.574736298227738e-21,0.9682326487499978,-0.9577082737054775,1.0660487156886898e-20,1.0,24.53322330654538,25.026733427500666,1.0,86.0
10.0,2.722713633111154,1.0e-6,1.0e-6,3.3510321638291125,0.01710218861918168,5.328870815739372,-0.7485343390938275,4.605110832538311,14.48862863903971,10.224184093323238,389.9280740583398,-0.3177052988903688,3.3664413929555792e-21,0.22890158715458073,1.0054614251590055,-1.1814010647332738e-20,1.0,387.67436939596706,4.460015322043793,3.612564255746228e-20,0.13129612225394569,0.03741434030028321,4.868034657635001e-22,1.0,388.83947829367514,-0.022379420476792193,0.0,7.321143357196962,7.845664390383671,0.0,1.0,388.3040197743728,0.8457356069414463,1.804414773697875e-21,-0.7580215715829349,1.000749240414388,8.048572038715014e-21,1.0,24.190751335789177,24.71281273236295,1.0,0.0
