id,phi0,epsr,epsv,thetasf,rp_kep,ra_kep,alpha,ra,dt1,dt2,x_lpo,y_lpo,z_lpo,xdot_lpo,ydot_lpo,zdot_lpo,m_lpo,x_ra,y_ra,z_ra,xdot_ra,ydot_ra,zdot_ra,m_ra,x_rp,y_rp,z_rp,xdot_rp,ydot_rp,zdot_rp,m_rp,x_lr,y_lr,z_lr,xdot_lr,ydot_lr,zdot_lr,m_lr,t_lr,tof,lfb
1.0,0.1884955592153876,1.0e-5,1.0e-5,0.3141592653589793,0.045327896078404664,2.541399191556879,1.7797522084597237,2.5480676560502373,8.788578459377378,4.598507217641695,387.7197453788684,0.27571344799675795,3.34523975208643e-23,-0.3100372134426149,-1.0532205866097013,-6.259474743312415e-22,1.0,388.78480624059506,-2.5478071863230247,1.1912719174240169e-21,0.09715122368796021,-0.00737718611351134,-1.510101584114024e-24,1.0159045672405023,388.82387834175535,0.042724391608227226,0.0,-6.401587918479793,-1.3574639809856217,0.0,1.0257844381922503,388.6531040328075,-0.9717415272610836,4.018290317649662e-22,0.016205090622913473,-1.1133655300446583,5.336277883426786e-22,1.0257844381922503,12.819447726219225,13.387085677019073,2.0
2.0,0.20943951023931956,1.0e-5,1.0e-5,0.3141592653589793,0.008455426469437434,2.074651337502607,1.8625449894091397,2.605247215248618,8.908062929617826,4.73364142073172,387.71582497089395,0.2739990056881813,-1.345164854335673e-23,-0.30818346651221984,-1.0366170148075944,-7.406841086086428e-22,1.0,389.1268764111849,-2.587256967748213,1.4064967445559261e-21,0.06002532287117813,0.0012812188211559824,-6.401194280514354e-23,1.0161974299184586,388.83013894821505,0.0037145518197433786,0.0,-14.61026563542487,-4.387728153334116,0.0,1.0264883740073791,388.93678394430776,-0.9790864599114874,6.369619614228913e-22,0.17559474137311185,-1.0984462620892483,6.546360576906048e-22,1.0264883740073791,13.106645123393617,13.641704350349546,2.0
3.0,0.3560471674068432,1.0e-5,1.0e-5,0.41887902047863906,0.03448170489451698,2.559361108947145,1.9299656152069151,2.4624460533400288,8.282790697679097,4.499106227265775,387.7315252228213,0.4156970870819091,-1.0109908032052814e-21,-0.3963478163105308,-0.8996239297755477,-1.4809047744592034e-21,1.0,389.2116253658707,-2.431303926890879,1.4288332448895788e-21,0.10463045228341501,0.0157906026315919,-6.870611947876487e-22,1.014664855057357,388.82064578197554,0.03612294339742351,0.0,-7.03920414187994,-2.6429025737028153,0.0,1.0243170642046187,388.8476377582352,-0.9801504616492004,2.2496325395194552e-21,0.19629337944644432,-1.0810640165245697,1.1455272566359643e-21,1.0243170642046187,12.220776669240294,12.781896924944872,2.0
4.0,0.5445427266222308,1.0e-5,1.0e-5,0.41887902047863906,0.013760385292502727,2.4071043205923504,1.84635384442784,2.5912823377649006,8.544617748354575,4.673069344635346,387.75395444449026,0.49940593327173066,-5.373262774534465e-21,-0.38516668811705734,-0.8661824827433783,1.802156128946887e-21,1.0,389.0421551718527,-2.581848184630184,-8.057294015790587e-21,0.06449497702166693,-0.002109653936034914,-2.0400005486437338e-21,1.0153066068065597,388.8296049279368,0.012251928105526892,0.0,-11.497564830656396,-3.2509434761287603,0.0,1.0254324197247204,388.87858156625674,-0.9846503915127636,3.0204266442563183e-21,0.14049744698100586,-1.103928440595052,-2.1567268128675227e-21,1.0254324197247204,12.675828398062547,13.217687092989921,2.0
5.0,1.0681415022205296,1.0e-5,1.0e-5,0.20943951023931953,0.05320192573144793,2.5551017173333275,1.5217421920928642,2.9293007832565494,9.859235367708175,5.385274336568584,387.71483753435086,0.19753221093878517,9.266624016377842e-23,-0.21984737934381524,-1.1640599274862256,-1.3048909212795303e-22,1.0,387.8666891214608,-2.7694111754425856,-1.342251439483142e-22,0.04356135176556833,-0.02148807704709817,5.656501682256032e-23,1.0185288032027617,388.82171401068706,0.04117609600745377,0.0,-6.024194496316882,0.2957489071945614,0.0,1.0304012830242082,388.36709882835953,-0.8669382608935173,-2.2428608448968807e-22,-0.3109822973279752,-1.1461729932372364,-1.073056876459053e-22,1.0304012830242082,14.703065238279773,15.244509704276759,3.0
6.0,1.1938052083641215,1.0e-5,1.0e-5,0.3141592653589793,0.033799427232004464,2.475705862049381,1.8007203480578655,2.557893147993775,8.805090049867065,4.6161324243626645,387.7187501297224,0.27514199594070593,2.3046718780893222e-23,-0.3095115845584919,-1.049008095812518,-6.544853796624192e-22,1.0,388.8763363093473,-2.55729967065044,1.2516206942161932e-21,0.08894373656177297,-0.004175314602701025,-1.710122725482778e-23,1.0159450380315453,388.8255210036777,0.030912947210700488,0.0,-7.3939936192295175,-1.7306619525834002,0.0,1.0259028842264042,388.7232544411004,-0.9758881793025144,4.610945353643575e-22,0.058006122513960263,-1.115084234306601,5.690075340075806e-22,1.0259028842264042,12.86777228395946,13.42122247422973,2.0
7.0,1.3194689145077132,1.0e-5,1.0e-5,0.41887902047863906,0.06229968300484618,2.0958125415198263,1.6952029540154019,2.294768648533845,7.955146285467839,4.16472422070513,387.73399534121563,0.4035158635183729,-6.183399524445301e-22,-0.4007297551045801,-0.9201274538801338,-1.3495328288311613e-21,1.0,388.9611112602478,-2.2905018676674356,1.7685517505980523e-21,0.17671154277232246,0.004651353177117335,-4.943277341730782e-22,1.0138617815001283,388.8207313261881,0.07158868181823248,0.0,-5.506646057997131,-0.6886195245160538,0.0,1.0225570158586885,388.5454367809702,-0.9461715030752386,1.785397012411006e-21,0.015165747578835173,-1.0640853835131765,1.2950659009681633e-21,1.0225570158586885,11.502697980736496,12.119870506172969,3.0
8.0,1.3404128655316452,1.0e-5,1.0e-5,0.41887902047863906,0.07550130055526416,2.7950154156947904,1.9656220416915535,2.389970223594327,8.126893567103869,4.351463685739299,387.73234086138933,0.41014444055357974,-8.283470494906572e-22,-0.39822280929334175,-0.9079272742042831,-1.4344236639542476e-21,1.0,389.11269829302717,-2.372131731492672,1.60898073059114e-21,0.1354447145519824,0.014674070317147805,-6.075984382568988e-22,1.0142827430453496,388.80220830782133,0.07657844445929689,0.0,-4.6593662731233545,-1.9415917928886486,0.0,1.0235039700398514,388.71875372272285,-0.976421605576752,1.9823767845140874e-21,0.15884655476019285,-1.1101479207487999,1.555440501282233e-21,1.0235039700398514,11.889043971318825,12.478357252843168,2.0
9.0,1.3613568165555772,1.0e-5,1.0e-5,0.41887902047863906,0.02564859163985227,2.491596140093043,1.9303701037639889,2.4869023796159646,8.358313361091582,4.530955043494636,387.7313347464842,0.41768907063478367,-1.0784122829380449e-21,-0.3957128032351728,-0.8969707732609357,-1.4925415552376985e-21,1.0,389.24110649151135,-2.4512026536343017,1.3677344783612054e-21,0.09362180225608101,0.01246372194216624,-7.116822989094858e-22,1.014849965029383,388.8240650403648,0.02668764746050955,0.0,-8.17339178377191,-3.07251135916079,0.0,1.024588425206076,388.8924714875046,-0.9828672374863302,2.330434631146654e-21,0.2106066848689842,-1.0734937878661486,1.0972908110336055e-21,1.024588425206076,12.331488721812908,12.889268404586218,2.0
10.0,1.5498523757709648,1.0e-5,1.0e-5,0.41887902047863906,0.02455052303751915,2.5720667270413258,1.8400938644613762,2.555928793422353,8.441073516919637,4.6147058693099865,387.75536123423717,0.5015821765349753,-5.5452057312205864e-21,-0.3855708674866234,-0.8670835673549024,2.1051513577599156e-21,1.0,388.98789505194446,-2.5504896870648843,-8.451891019483377e-21,0.07995620483755352,-0.0001650431177632957,-2.116320143571468e-21,1.0150528145110569,388.8268291545075,0.024494725954182357,0.0,-8.606474129930982,-2.3754042042409806,0.0,1.025011823130445,388.80633305138076,-0.9851480797062608,3.0059002975924474e-21,0.11147035839323882,-1.1058225317806785,-2.3448705585100706e-21,1.025011823130445,12.504230006327203,13.055779386229624,2.0
11.0,2.178170906488923,1.0e-5,1.0e-5,0.3141592653589793,0.07194688834300232,2.629392325152495,1.735807430627406,2.5382646528888215,8.794839944333635,4.58635495128029,387.72167872631525,0.27709050209366604,5.1042221166933585e-23,-0.31118845276587054,-1.0613925484459927,-5.716861007643615e-22,1.0,388.5894469379015,-2.527659005089971,1.0576215454179018e-21,0.11032364168455508,-0.017005165470146168,2.87151986574603e-23,1.0159199144688773,388.82147150210074,0.06941772303740044,0.0,-5.099796415477394,-0.8492449996975049,0.0,1.025717974808717,388.5147674710933,-0.9388262836706195,2.764394988694317e-22,-0.07179294222450346,-1.1158131420297361,4.600015386083469e-22,1.025717974808717,12.79233145929422,13.381194895613925,2.0
12.0,2.199114857512855,1.0e-5,1.0e-5,0.3141592653589793,0.023760235206162623,2.3865489512939453,1.821814900535747,2.5710638399558414,8.79723798802634,4.678759321854464,387.71775523423173,0.2746635116419478,1.1660867876269046e-23,-0.3090261191632615,-1.0447949849661058,-6.834164295123819e-22,1.0,388.9666917024473,-2.56694617811853,1.3064682492970612e-21,0.08167608077601059,0.0030698710614850623,-3.5767827485597946e-23,1.0159257922028289,388.8272056430628,0.020414016807614118,0.0,-8.789317019895211,-2.253819848657858,0.0,1.0260505639603617,388.79443903673825,-0.9838475601563029,5.232357709865002e-22,0.09848344715054928,-1.10827888372797,5.986006763463802e-22,1.0260505639603617,12.928023856641992,13.475997309880805,2.0
13.0,2.324778563656447,1.0e-5,1.0e-5,0.41887902047863906,0.014563161740837135,1.8266321528938172,1.5376000652923767,2.318471872708787,7.997376321573659,4.204892751778985,387.7335180067738,0.40510252117287127,-6.680247779260616e-22,-0.4000955071402631,-0.9169239471103471,-1.3730709549604213e-21,1.0,389.00134433325917,-2.3114657191350902,1.7382242458779603e-21,0.16620511576915165,0.007700392951055112,-5.234921461164302e-22,1.0139652895204796,388.8296683497944,0.02374711638256682,0.0,-11.594948252914934,0.3850503855077303,0.0,1.022775241432739,388.5965673870009,-0.9612656510300586,1.7953382845050393e-21,-0.04311852817040165,-1.0845027596879215,2.7854507104871095e-21,1.022775241432739,11.591731407678886,12.202269073352644,3.0
