id,phi0,epsr,epsv,thetaf,rp_kep,ra_kep,alpha,ra,dt1,dt2,x_ini,y_ini,z_ini,xdot_ini,ydot_ini,zdot_ini,m_ini,x_ra,y_ra,z_ra,xdot_ra,ydot_ra,zdot_ra,m_ra,x_rp,y_rp,z_rp,xdot_rp,ydot_rp,zdot_rp,m_rp,tof,m0,lfb,,
1,0,1.00E-06,1.00E-06,3.141592654,0.027835119,5.357114163,-0.703712317,4.229266614,13.935,9.394115009,389.9439269,2.79E-07,5.60E-23,-1.03E-06,1.203809979,3.76E-31,1,387.5004415,4.025394619,6.79E-23,0.100767174,0.032836406,2.43E-23,1.132826603,388.853603,-0.013186535,0,5.439658763,6.404830719,0,1,23.32911501,1.222349923,0,,
30,0.680678408,1.00E-06,1.00E-06,1.466076572,0.017329992,4.432199824,-0.687332613,4.093872084,15.297,9.07608976,388.7733809,1.158694296,-9.01E-21,-0.999122413,-0.096784336,1.86E-20,1,387.322098,3.81316913,4.66E-20,0.093202676,0.036402953,-3.66E-21,1.14580901,388.8399377,-5.49E-05,0,6.757460186,8.23998215,0,1.232291663,24.37308976,1.232291663,0,,292.685542
