This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1092
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       78
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       75
                     variables with only upper bounds:        0
Total number of equality constraints.................:       14
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 199r 1.0000000e+00 1.14e+01 7.69e+09   0.6 1.75e-01    -  1.37e-01 2.52e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 1.0000000e+00 1.04e+01 6.62e+11   1.7 1.01e+00    -  8.77e-02 7.06e-02f  2
 201r 1.0000000e+00 3.47e+01 7.95e+09   1.5 4.64e-01    -  8.63e-01 1.00e+00F  1
 202r 1.0000000e+00 3.29e+01 3.50e+09   1.4 2.27e-01    -  2.12e-01 1.00e+00h  1
 203r 1.0000000e+00 7.93e+01 4.88e+10   1.4 2.83e-01    -  4.59e-01 4.45e-01f  1
 204r 1.0000000e+00 1.86e+01 1.45e+11   1.4 2.93e-01    -  5.93e-01 2.81e-01f  1
 205r 1.0000000e+00 2.14e+01 1.19e+10   1.4 1.77e-01    -  1.00e+00 7.63e-01f  1
 206r 1.0000000e+00 2.81e+01 3.23e+10   1.4 1.41e-01    -  5.80e-02 2.67e-01h  1
 207r 1.0000000e+00 9.00e+00 2.49e+10   1.4 2.81e+00    -  1.00e+00 1.70e-01f  1
 208r 1.0000000e+00 1.35e+01 2.89e+11   0.1 2.63e-01    -  1.00e+00 9.73e-01f  1
 209r 1.0000000e+00 3.21e+01 3.66e+08   0.8 7.51e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 1.0000000e+00 1.18e+01 2.89e+08   0.7 2.82e-01    -  4.95e-01 4.56e-01H  1
 211r 1.0000000e+00 5.09e+01 7.27e+09   1.3 4.89e-01    -  6.06e-01 3.37e-01f  1
 212r 1.0000000e+00 4.49e+00 1.84e+10   1.1 1.16e-01    -  7.39e-01 1.00e+00f  1
 213r 1.0000000e+00 5.25e+01 1.94e+10  -4.9 8.85e+00    -  1.31e-01 2.09e-02f  1
 214r 1.0000000e+00 2.06e+01 2.47e+10   0.9 6.83e-01    -  1.00e+00 2.55e-02h  1
 215r 1.0000000e+00 4.20e+00 1.04e+10   0.9 1.54e+01    -  1.76e-01 1.92e-01f  2
 216r 1.0000000e+00 4.12e+01 7.75e+09   1.4 1.97e+00    -  1.98e-01 1.52e-01f  1
 217r 1.0000000e+00 1.91e+01 2.49e+10   1.0 8.85e-01    -  1.00e+00 2.57e-01h  1
 218r 1.0000000e+00 5.09e+01 1.21e+09   1.0 8.72e-01    -  7.80e-01 1.59e-01F  1
 219r 1.0000000e+00 1.97e+01 4.69e+10   1.0 4.11e+00    -  6.95e-02 5.07e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r 1.0000000e+00 4.75e+00 3.64e+10   1.0 5.41e+00    -  3.48e-01 1.77e-01h  3
 221r 1.0000000e+00 2.04e+01 2.73e+10   1.0 6.45e-01    -  2.86e-01 3.92e-01f  1
 222r 1.0000000e+00 1.12e+01 6.15e+10   1.0 1.79e+00    -  7.51e-01 1.40e-02H  1
 223r 1.0000000e+00 2.68e+01 2.28e+10   1.0 6.91e-02    -  4.86e-01 3.51e-01f  1
 224r 1.0000000e+00 9.42e+00 6.43e+10   1.0 5.53e-01    -  1.00e+00 8.27e-02h  4
 225r 1.0000000e+00 5.63e+01 7.65e+10   1.0 5.31e-02    -  3.69e-01 7.09e-01F  1
 226r 1.0000000e+00 1.79e+01 3.07e+11   1.0 7.61e-03    -  1.00e+00 1.00e+00f  1
 227r 1.0000000e+00 1.49e+01 3.13e+11   1.0 8.48e-02    -  1.88e-01 8.56e-07h 19
 228r 1.0000000e+00 6.94e+01 1.48e+11   1.0 1.84e-01    -  1.00e+00 4.84e-02f  4
 229r 1.0000000e+00 2.35e+01 1.02e+07   1.0 3.30e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230r 1.0000000e+00 1.28e+01 1.88e+05   1.0 8.98e-01    -  1.00e+00 1.00e+00f  1
 231r 1.0000000e+00 1.02e+01 3.15e+05   1.0 2.74e-01    -  1.00e+00 5.00e-01h  2
 232r 1.0000000e+00 1.79e+01 2.00e+10   1.7 5.76e-02   4.8 1.00e+00 4.40e-01f  1
 233r 1.0000000e+00 7.19e+01 3.95e+09   1.6 2.03e-01    -  2.91e-01 3.93e-01f  1
 234r 1.0000000e+00 1.18e+01 1.15e+09   1.6 1.94e-01    -  1.00e+00 1.00e+00f  1
 235r 1.0000000e+00 1.62e+01 2.86e+10   1.6 1.05e-01    -  8.61e-01 1.00e+00h  1
 236r 1.0000000e+00 1.36e+01 1.96e+10   1.6 3.99e+00    -  8.47e-01 5.61e-03f  3
 237r 1.0000000e+00 3.00e+01 2.10e+09   1.6 4.50e-02    -  1.00e+00 1.00e+00f  1
 238r 1.0000000e+00 1.07e+01 8.76e+08   1.6 2.32e-02    -  1.00e+00 1.00e+00f  1
 239r 1.0000000e+00 2.13e+01 2.17e+08   1.6 1.26e-02    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240r 1.0000000e+00 9.57e+00 1.36e+09   1.6 1.44e-02    -  1.00e+00 1.00e+00h  1
 241r 1.0000000e+00 9.41e+00 1.29e+09   1.6 5.86e-03    -  1.00e+00 1.25e-01h  4
 242r 1.0000000e+00 5.66e+00 8.30e+10   1.6 7.24e-01    -  8.90e-01 4.88e-01h  1
 243r 1.0000000e+00 1.59e+01 3.98e+10   1.6 9.75e-02    -  4.20e-01 2.10e-01f  2
 244r 1.0000000e+00 1.38e+01 2.16e+10   1.6 3.06e-01    -  1.00e+00 2.50e-01h  3
 245r 1.0000000e+00 6.51e+00 5.20e+10   1.6 1.36e-01    -  6.61e-01 1.00e+00h  1
 246r 1.0000000e+00 9.39e+00 2.99e+09   1.6 8.45e-01    -  1.00e+00 1.12e-01f  4
 247r 1.0000000e+00 1.06e+01 1.76e+10   1.6 2.08e+00    -  1.00e+00 1.00e+00f  1
 248r 1.0000000e+00 1.62e+01 2.01e+09   1.6 1.64e+00    -  1.00e+00 1.86e-01f  1
 249r 1.0000000e+00 1.04e+01 1.56e+09   1.6 3.74e+00    -  5.73e-01 3.59e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250r 1.0000000e+00 1.03e+01 1.17e+10   1.6 7.40e-01    -  1.00e+00 1.20e-01h  1
 251r 1.0000000e+00 8.51e+00 1.96e+09   1.6 7.23e-01    -  1.77e-01 1.25e-01h  1
 252r 1.0000000e+00 7.17e+00 8.31e+09   1.6 1.61e+00    -  2.62e-01 4.38e-02f  3
 253r 1.0000000e+00 6.56e+00 2.51e+10   1.6 1.21e+00    -  9.29e-02 1.29e-01H  1
 254r 1.0000000e+00 5.07e+00 1.17e+10   1.6 3.90e-01    -  3.57e-01 3.62e-01F  1
 255r 1.0000000e+00 2.62e+00 1.03e+11   1.6 4.27e+00    -  5.03e-01 1.18e-02f  2
 256r 1.0000000e+00 1.94e+01 4.20e+10   1.8 1.34e+00    -  8.99e-01 2.50e-01f  3
 257r 1.0000000e+00 5.75e+00 7.41e+09   1.7 5.75e-01    -  4.37e-01 1.69e-01h  1
 258r 1.0000000e+00 1.20e+01 3.79e+09   1.7 2.93e+00    -  1.00e+00 1.39e-01f  1
 259r 1.0000000e+00 2.29e+01 4.25e+10   1.7 1.45e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260r 1.0000000e+00 1.25e+01 3.07e+10   1.7 4.43e-01    -  1.00e+00 1.00e+00h  1
 261r 1.0000000e+00 3.91e+00 1.91e+09   1.7 1.55e+00    -  4.10e-01 4.88e-01h  1
 262r 1.0000000e+00 9.98e+00 1.18e+10   1.7 1.65e+00    -  1.00e+00 1.20e-01F  1
 263r 1.0000000e+00 1.30e+01 5.29e+08   1.7 1.26e+00    -  1.00e+00 1.00e+00f  1
 264r 1.0000000e+00 2.71e+01 2.36e+09   1.7 1.21e+00    -  1.00e+00 1.00e+00f  1
 265r 1.0000000e+00 7.15e+00 1.78e+06   1.7 4.61e-01    -  1.00e+00 1.00e+00h  1
 266r 1.0000000e+00 3.73e+00 5.51e+09   1.7 1.78e+00    -  1.00e+00 1.00e+00h  1
 267  1.0000000e+00 3.55e+00 2.16e+13  -1.4 1.41e+00  -4.0 4.81e-01 1.91e-02h  2
 268  1.0000000e+00 3.52e+00 2.04e+13  -1.4 1.07e+00    -  5.22e-02 8.36e-03h  2
 269  1.0000000e+00 3.42e+00 3.41e+12  -1.4 3.59e+00    -  3.49e-01 5.76e-03h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  1.0000000e+00 3.42e+00 1.99e+12  -1.4 1.55e+00    -  4.16e-02 2.21e-05h  9
 271  1.0000000e+00 3.42e+00 2.07e+13  -1.4 1.47e+00    -  6.51e-01 2.85e-03h  2
 272  1.0000000e+00 3.41e+00 2.28e+13  -1.4 1.48e+00    -  4.41e-02 2.96e-03h  1
 273  1.0000000e+00 2.51e+00 5.77e+13  -1.4 1.42e+01    -  9.94e-02 8.29e-02h  1
 274  1.0000000e+00 2.45e+00 2.90e+13  -1.4 1.73e+00    -  5.07e-01 2.98e-02h  6
 275  1.0000000e+00 2.33e+00 1.35e+13  -1.4 1.23e+00    -  1.78e-01 1.25e-01h  4
 276  1.0000000e+00 2.33e+00 9.95e+12  -1.4 3.02e-01    -  1.32e-01 3.12e-05h  3
 277  1.0000000e+00 2.06e+00 6.43e+14  -1.4 4.91e-01    -  1.00e+00 1.32e-01h  1
 278  1.0000000e+00 2.06e+00 1.17e+15  -1.4 3.48e-01    -  1.00e+00 5.81e-03h  7
